API_NUMBER,DA_STATUS_NUMBER,OPERATOR_NAME,LEASE_NAME,center_lat_wgs84,center_lon_wgs84,min_lat_wgs84,max_lat_wgs84,min_lon_wgs84,max_lon_wgs84
335625,0908936,BPX OPERATING COMPANY,SISTERS B-H SISTERS A SA 5    02,29.087631,-97.512876,29.086944602249194,29.08831822862282,-97.51366223358613,-97.5120903578229
335608,0908827,BPX OPERATING COMPANY,NDY A                         02,29.117442,-97.539994,29.11675520387526,29.11812883024889,-97.54077970765776,-97.53920737657937
335605,0908823,BPX OPERATING COMPANY,NDY A-A. J. BAKER A SA 1      02,29.117311,-97.540108,29.11662420774546,29.117997834119087,-97.54089370948269,-97.53932138040658
335606,0908824,BPX OPERATING COMPANY,NDY A-A. J. BAKER A SA 2      02,29.117344,-97.540079,29.116657206771137,29.118030833144765,-97.54086470901504,-97.53929237943456
335607,0908825,BPX OPERATING COMPANY,NDY A-A. J. BAKER A SA 3      02,29.117376,-97.540051,29.116689205826084,29.118062832199712,-97.54083670856497,-97.53926437849537
332586,0908361,BURLINGTON RESOURCES O & G CO LP,RGE UNIT A USW                02,29.078883,-97.582267,29.078196024949392,29.07956965132302,-97.58305248941845,-97.58148074714667
332558,0908837,BURLINGTON RESOURCES O & G CO LP,H UNIT B                      02,29.042547,-97.698497,29.041860213320973,29.0432338396946,-97.6992829684386,-97.69771177996772
332813,0908838,BURLINGTON RESOURCES O & G CO LP,RTMAN UNIT A                  02,28.925748,-97.674949,28.925061166633242,28.92643479300687,-97.67573378526771,-97.67416437004084
334052,0908623,BURLINGTON RESOURCES O & G CO LP,LMER KOOPMANN A 274           02,29.080331,-97.566431,29.07964391431435,29.081017540687977,-97.56721666019911,-97.5656448958386
334452,0908621,BURLINGTON RESOURCES O & G CO LP,SMITH UNIT A                  02,29.044542,-97.608725,29.04385475005837,29.045228376431997,-97.60951097156104,-97.60793975271758
332870,0908391,BURLINGTON RESOURCES O & G CO LP,RALDO A-403                   02,29.117867,-97.532918,29.117180406103007,29.118554032476634,-97.53370411345915,-97.5321317758814
332664,0908888,BURLINGTON RESOURCES O & G CO LP,LGRIM UNIT B                  02,29.187260,-97.481416,29.186573240132198,29.187946866505825,-97.48220259635627,-97.48062919620438
332355,0908617,BURLINGTON RESOURCES O & G CO LP,HENDEL A-303 NO. 1            02,29.012585,-97.713329,29.011897927531678,29.013271553905305,-97.7141144696596,-97.71254373708096
335617,0908903,"DEVON ENERGY PRODUCTION CO, L.P.",G OAK A                       02,29.276893,-97.308618,29.276206314457728,29.277579940831355,-97.30940538049119,-97.30783060228843
335618,0908904,"DEVON ENERGY PRODUCTION CO, L.P.",G OAK A                       02,29.276888,-97.308555,29.276201314749684,29.277574941123312,-97.30934267867406,-97.30776790054836
335611,0908890,"DEVON ENERGY PRODUCTION CO, L.P.",HERMANN E                     02,29.275207,-97.321210,29.274520439727578,29.275894066101205,-97.32199771709747,-97.3204229648718
335610,0908889,"DEVON ENERGY PRODUCTION CO, L.P.",HERMANN E                     02,29.275213,-97.321273,29.27452583942319,29.27589946579682,-97.3220603189159,-97.32048556660703
335612,0908892,"DEVON ENERGY PRODUCTION CO, L.P.",HERMANN E - BIG OAK A SA A    02,29.275202,-97.321148,29.274515040031307,29.275888666404935,-97.32193541528746,-97.320360663145
